Borough,Schools,total_places,Pupils,median_imd,Utilisation (%),Good,Not yet inspected,Outstanding,Requires improvement,Inadequate,Top-25% P8 schools,Transit to any school (min),Walk to any school (min),Cycle to any school (min),Car to any school (min),Transit to P8 school (min),Walk to P8 school (min),Cycle to P8 school (min),Car to P8 school (min),Transit to Outstanding school (min),Walk to Outstanding school (min),Cycle to Outstanding school (min),Transit to Att8 school (min),Walk to Att8 school (min),Cycle to Att8 school (min),Quality penalty P8 — transit (min),penalty_walk,Quality penalty Outstanding — transit (min),penalty_walk_outstanding,Quality penalty Att8 — transit (min),penalty_walk_att8,borough_short
Westminster,10,11242.0,10634.0,23.5,94.6,5,2,3,0,0,5,5.0,5.0,2.0,2.0,6.0,6.0,4.0,3.0,11.0,11.0,7.0,6.0,6.0,4.0,1.0,1.0,6.0,6.0,1.0,1.0,Westminster
Hammersmith and Fulham,10,8786.0,8323.0,20.9,94.7,5,1,4,0,0,6,6.0,6.0,3.0,2.0,9.0,9.0,4.5,3.0,16.5,20.5,9.0,8.0,8.0,3.5,3.0,3.0,10.5,14.5,2.0,2.0,Hammersmith and Fulham
Hackney,15,14776.0,13568.0,28.3,91.8,12,0,3,0,0,5,6.0,6.0,4.0,2.0,10.5,10.5,7.0,4.0,22.0,23.5,10.0,19.5,19.5,10.0,4.5,4.5,16.0,17.5,13.5,13.5,Hackney
Merton,9,11775.0,9624.0,14.3,81.7,3,1,5,0,0,6,8.0,8.0,4.0,4.0,11.0,11.0,5.0,5.0,25.0,25.0,10.0,28.0,42.0,17.0,3.0,3.0,17.0,17.0,20.0,34.0,Merton
Kingston upon Thames,9,9941.0,10107.0,12.1,101.7,6,0,3,0,0,5,11.0,11.0,5.0,3.0,13.0,13.0,6.0,4.0,28.0,29.0,14.0,13.0,13.0,6.0,2.0,2.0,17.0,18.0,2.0,2.0,Kingston upon Thames
Ealing,16,24288.0,22713.0,27.1,93.5,5,3,8,0,0,7,7.0,7.0,4.0,2.0,13.0,13.0,7.0,5.0,9.0,9.0,8.0,17.0,25.0,9.0,6.0,6.0,2.0,2.0,10.0,18.0,Ealing
Brent,16,23217.0,21536.0,31.4,92.8,8,3,5,0,0,6,11.5,11.5,6.0,3.0,13.5,13.5,7.5,4.0,18.0,23.0,9.5,16.5,17.0,11.0,2.0,2.0,6.5,11.5,5.0,5.5,Brent
Kensington and Chelsea,5,4609.0,4761.0,26.8,103.3,2,0,3,0,0,2,7.0,7.0,3.0,1.0,15.0,15.0,6.0,3.0,12.0,12.0,4.0,21.0,26.0,13.0,8.0,8.0,5.0,5.0,14.0,19.0,Kensington and Chelsea
Southwark,19,20200.0,18739.0,25.5,92.8,10,2,6,1,0,5,7.0,7.0,3.0,2.0,18.0,21.0,11.0,5.0,18.0,21.0,11.0,19.0,26.0,11.0,11.0,14.0,11.0,14.0,12.0,19.0,Southwark
Redbridge,16,26483.0,25209.0,21.1,95.2,9,1,5,1,0,7,8.0,8.0,3.0,2.5,19.0,14.0,9.0,5.0,22.0,24.0,12.0,12.5,14.0,9.0,11.0,6.0,14.0,16.0,4.5,6.0,Redbridge
