rank,la_name,school_count,total_pupils,utilisation_pct,avg_tt_transit_nearest_any,avg_tt_walk_nearest_any,avg_tt_car_nearest_any,avg_tt_cycle_nearest_any
1,Westminster,11,11953.0,93.80787945377492,4.3,4.3,2.0,2.6
2,Hammersmith and Fulham,11,9131.0,95.2534946797413,5.090909090909091,5.090909090909091,1.8181818181818181,2.5454545454545454
3,Tower Hamlets,18,19227.0,91.48743814236772,5.777777777777778,5.777777777777778,2.5,2.888888888888889
4,Hackney,16,14429.0,90.6572003015833,6.333333333333333,6.333333333333333,2.4,4.266666666666667
5,Camden,10,9976.0,90.36231884057972,6.444444444444445,6.777777777777778,3.2222222222222223,3.6666666666666665
6,Islington,10,7439.0,75.94691168963757,6.6,6.6,3.1,3.4
7,Lewisham,14,14378.0,85.96197536769102,6.785714285714286,6.785714285714286,2.2142857142857144,3.142857142857143
8,Kensington and Chelsea,6,6097.0,100.96042391124358,6.833333333333333,6.833333333333333,1.5,2.3333333333333335
9,Southwark,20,19700.0,93.01227573182247,7.222222222222222,7.222222222222222,2.7222222222222223,3.5
10,Wandsworth,11,12852.0,88.26923076923077,7.2727272727272725,7.2727272727272725,2.4545454545454546,3.3636363636363638
11,Waltham Forest,17,16721.0,92.9150922427206,7.470588235294118,7.647058823529412,2.764705882352941,3.4705882352941178
12,Ealing,17,23473.0,93.4137217446673,7.875,7.875,2.4375,4.25
13,Lambeth,16,14751.0,87.18600390093977,8.25,8.4375,2.5,3.9375
14,Newham,21,25916.0,88.99725274725274,8.45,8.55,3.25,4.15
15,Haringey,12,15199.0,101.25916055962692,9.166666666666666,9.416666666666666,2.9166666666666665,4.333333333333333
16,Merton,9,9624.0,81.73248407643312,9.222222222222221,9.333333333333334,3.5555555555555554,4.222222222222222
17,Richmond upon Thames,11,12487.0,110.71998581308742,9.272727272727273,10.272727272727273,3.0,5.181818181818182
18,Redbridge,19,28674.0,96.08283349529204,9.368421052631579,9.368421052631579,2.736842105263158,3.6842105263157894
19,Enfield,21,24740.0,87.40814019219899,9.578947368421053,9.736842105263158,3.3157894736842106,4.894736842105263
20,Harrow,13,16592.0,95.18127581459385,9.692307692307692,10.076923076923077,2.4615384615384617,5.615384615384615
21,Barnet,28,29229.0,89.76689905101195,9.785714285714286,10.428571428571429,2.857142857142857,5.464285714285714
22,Havering,18,17554.0,97.82657155595184,9.823529411764707,9.823529411764707,2.176470588235294,4.0
23,Croydon,23,21950.0,82.92719785409346,10.272727272727273,10.772727272727273,2.9545454545454546,5.590909090909091
24,Hounslow,21,21797.0,89.82526992499794,10.4,10.4,2.7333333333333334,4.666666666666667
25,Bexley,16,19991.0,88.90420706217202,10.4,12.266666666666667,2.6,5.8
26,Brent,16,21536.0,92.75961579876815,10.428571428571429,10.5,2.642857142857143,5.5
27,Barking and Dagenham,13,21347.0,88.22532650024797,10.666666666666666,11.333333333333334,3.0833333333333335,4.666666666666667
28,Hillingdon,22,22843.0,89.81284894236062,11.0,11.0,2.888888888888889,4.666666666666667
29,Greenwich,16,19057.0,95.38515441213275,11.6,12.133333333333333,3.3333333333333335,5.666666666666667
30,Kingston upon Thames,11,12825.0,103.91346621293145,11.636363636363637,12.0,3.272727272727273,5.818181818181818
31,Bromley,19,24532.0,101.13369336686317,13.352941176470589,14.294117647058824,3.823529411764706,8.764705882352942
32,Sutton,14,20142.0,103.83009433475951,13.384615384615385,14.538461538461538,3.230769230769231,6.384615384615385
